epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6406.95,1.35049,1.04157,1.51713,0.18745,0.14577,0.14074,0.07109,2.20781,2.32168,2.57155,0.000827187,0.000827187,0.000827187
43,6570.44,1.32577,0.99733,1.49506,0.18597,0.1415,0.14225,0.07227,2.16924,2.41783,2.49251,0.000816875,0.000816875,0.000816875
44,6736.8,1.32064,1.00959,1.5003,0.18295,0.14294,0.13898,0.07083,2.27562,2.28433,2.63562,0.000806562,0.000806562,0.000806562
45,6883.26,1.31136,0.97102,1.48809,0.18871,0.14724,0.14002,0.07152,2.18089,2.27113,2.51059,0.00079625,0.00079625,0.00079625
46,7030,1.30969,0.98227,1.48084,0.18988,0.14404,0.13602,0.07139,2.33718,2.21818,2.69727,0.000785938,0.000785938,0.000785938
47,7175.05,1.31378,0.98084,1.49073,0.18835,0.1461,0.14512,0.07651,2.11957,2.1103,2.50486,0.000775625,0.000775625,0.000775625
48,7323.78,1.2783,0.97606,1.47947,0.1872,0.14849,0.14032,0.07345,2.16688,2.24099,2.53955,0.000765313,0.000765313,0.000765313
49,7469,1.27173,0.94287,1.46092,0.19,0.1486,0.15276,0.08046,2.07547,2.07461,2.42796,0.000755,0.000755,0.000755
50,7615.69,1.26839,0.93778,1.45899,0.19498,0.14932,0.14683,0.07592,2.1324,2.1128,2.48635,0.000744688,0.000744688,0.000744688
51,7757.5,1.2739,0.92613,1.47054,0.19461,0.14511,0.14564,0.07829,2.26406,2.10354,2.62949,0.000734375,0.000734375,0.000734375
52,7900.35,1.26565,0.96241,1.46797,0.18536,0.1471,0.14169,0.07508,2.14991,2.21469,2.49046,0.000724062,0.000724062,0.000724062
53,8042.17,1.25044,0.93234,1.45103,0.18318,0.14713,0.13843,0.07283,2.24251,2.22201,2.62286,0.00071375,0.00071375,0.00071375
54,8184.01,1.24908,0.92933,1.44706,0.19404,0.14739,0.13876,0.07393,2.35793,2.00235,2.78933,0.000703437,0.000703437,0.000703437
55,8325.65,1.23032,0.89814,1.43496,0.19173,0.14724,0.13689,0.07285,2.38147,2.06988,2.92937,0.000693125,0.000693125,0.000693125
56,8470.02,1.23457,0.88868,1.42216,0.19061,0.14636,0.13944,0.07539,2.37202,2.1284,2.80088,0.000682813,0.000682813,0.000682813
