epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5485.59,1.08498,0.76417,1.30663,0.77488,0.68493,0.71334,0.43324,1.25269,0.78817,1.33687,0.000848969,0.000848969,0.000848969
43,5612.61,1.06297,0.74983,1.28571,0.75939,0.694,0.70136,0.41083,1.30937,0.79105,1.36531,0.000834822,0.000834822,0.000834822
44,5738.95,1.07257,0.75266,1.28849,0.7431,0.70301,0.72241,0.42358,1.3006,0.77572,1.37026,0.000820675,0.000820675,0.000820675
45,5864.83,1.07169,0.74172,1.28951,0.75423,0.70875,0.71794,0.43361,1.28173,0.78579,1.35026,0.000806528,0.000806528,0.000806528
46,5991.28,1.05496,0.75069,1.28759,0.73529,0.71028,0.72789,0.44207,1.25464,0.78005,1.34775,0.00079238,0.00079238,0.00079238
47,6117.47,1.05072,0.74242,1.28021,0.78125,0.70828,0.71452,0.42814,1.25123,0.77706,1.34408,0.000778233,0.000778233,0.000778233
48,6243.87,1.04603,0.73748,1.27623,0.80811,0.68864,0.72847,0.4276,1.31974,0.77339,1.39651,0.000764086,0.000764086,0.000764086
49,6370.46,1.04217,0.73065,1.27864,0.7885,0.70713,0.7351,0.43147,1.26743,0.77644,1.35555,0.000749939,0.000749939,0.000749939
50,6496.05,1.02377,0.71099,1.25669,0.81845,0.6699,0.72911,0.44039,1.23585,0.7684,1.3314,0.000735792,0.000735792,0.000735792
51,6621.56,1.0176,0.69688,1.25473,0.77969,0.69476,0.72795,0.43814,1.25283,0.76134,1.35749,0.000721645,0.000721645,0.000721645
52,6747.81,1.01995,0.70847,1.26792,0.75277,0.69543,0.7188,0.43061,1.27375,0.77725,1.3665,0.000707498,0.000707498,0.000707498
53,6874.02,1.00515,0.6919,1.25801,0.75286,0.70257,0.69883,0.4206,1.23263,0.76749,1.34061,0.000693351,0.000693351,0.000693351
54,7000.5,1.00186,0.69657,1.2504,0.71629,0.71414,0.71017,0.42558,1.27046,0.75112,1.35075,0.000679204,0.000679204,0.000679204
55,7127.66,1.00252,0.6905,1.24468,0.72939,0.69166,0.70146,0.41767,1.2876,0.75169,1.37119,0.000665057,0.000665057,0.000665057
56,7254.64,1.00548,0.68004,1.2443,0.75796,0.69229,0.70573,0.42417,1.25189,0.72603,1.35739,0.000650909,0.000650909,0.000650909
57,7380.71,0.98701,0.67365,1.24113,0.75439,0.72959,0.75208,0.45129,1.2394,0.73516,1.34631,0.000636762,0.000636762,0.000636762
58,7507.56,0.98189,0.67598,1.23858,0.75711,0.7223,0.73041,0.44382,1.21629,0.72901,1.33422,0.000622615,0.000622615,0.000622615
59,7634.32,0.98061,0.65982,1.22671,0.78376,0.70469,0.72476,0.44756,1.21725,0.73241,1.33082,0.000608468,0.000608468,0.000608468
60,7761.06,0.96922,0.64063,1.22444,0.71196,0.7285,0.72999,0.43634,1.24578,0.74369,1.35328,0.000594321,0.000594321,0.000594321
61,7886.85,0.97128,0.65265,1.22389,0.76449,0.70487,0.72702,0.43856,1.26052,0.74489,1.35315,0.000580174,0.000580174,0.000580174
62,8013.42,0.94446,0.62651,1.20391,0.79807,0.72424,0.74382,0.44969,1.2196,0.71113,1.32632,0.000566027,0.000566027,0.000566027
63,8139.41,0.95044,0.64199,1.21343,0.74862,0.74386,0.74311,0.44736,1.2353,0.7221,1.34056,0.00055188,0.00055188,0.00055188
64,8265.68,0.93348,0.61743,1.19852,0.77808,0.70333,0.72286,0.44587,1.20381,0.71516,1.33344,0.000537733,0.000537733,0.000537733
65,8392.17,0.94089,0.624,1.2133,0.78687,0.70895,0.74127,0.45418,1.22039,0.70244,1.33955,0.000523586,0.000523586,0.000523586
66,8518.17,0.93885,0.6195,1.20728,0.80676,0.72757,0.7452,0.46115,1.20606,0.69724,1.3339,0.000509438,0.000509438,0.000509438
67,8645.28,0.94031,0.61635,1.21154,0.78425,0.72234,0.73344,0.45435,1.21331,0.7184,1.35101,0.000495291,0.000495291,0.000495291
68,8771.91,0.9227,0.61008,1.20048,0.78129,0.72727,0.73829,0.45801,1.1914,0.6868,1.32137,0.000481144,0.000481144,0.000481144
69,8898.81,0.91616,0.61169,1.19932,0.77269,0.71591,0.73263,0.46117,1.1574,0.70036,1.30681,0.000466997,0.000466997,0.000466997
70,9026.19,0.9145,0.60959,1.19269,0.77572,0.728,0.74288,0.45988,1.19065,0.68304,1.3244,0.00045285,0.00045285,0.00045285
71,9153.25,0.90162,0.58546,1.18181,0.83393,0.71005,0.74739,0.46241,1.15805,0.70393,1.31083,0.000438703,0.000438703,0.000438703
72,9280.06,0.90602,0.59039,1.19098,0.8413,0.71032,0.75884,0.46408,1.20144,0.71155,1.33835,0.000424556,0.000424556,0.000424556
73,9406.14,0.88861,0.58085,1.18464,0.77075,0.72468,0.743,0.45635,1.17134,0.70043,1.32147,0.000410409,0.000410409,0.000410409
74,9532.79,0.87857,0.57402,1.17276,0.79582,0.74315,0.7581,0.47371,1.173,0.68234,1.32293,0.000396262,0.000396262,0.000396262
