epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,332.262,1.19423,0.80109,1.33393,0.93762,0.95303,0.98229,0.63754,1.20428,0.71701,1.29637,0.00149384,0.00149384,0.00149384
44,339.851,1.22253,0.75907,1.31971,0.9751,0.98793,0.99213,0.65311,1.14576,0.60981,1.25791,0.00148582,0.00148582,0.00148582
45,347.658,1.18901,0.77001,1.3227,0.95629,0.95419,0.98881,0.63117,1.24216,0.65647,1.28087,0.00147764,0.00147764,0.00147764
46,355.197,1.2623,0.86007,1.36543,0.97393,0.96379,0.98716,0.63161,1.24382,0.65571,1.27386,0.0014693,0.0014693,0.0014693
47,362.807,1.17804,0.72576,1.30347,0.95084,0.96093,0.99103,0.6762,1.11516,0.63772,1.21307,0.0014608,0.0014608,0.0014608
48,370.578,1.122,0.65279,1.2656,0.97198,0.9795,0.99377,0.67242,1.07203,0.60799,1.1781,0.00145215,0.00145215,0.00145215
49,378.248,1.11329,0.65536,1.26059,0.97184,0.98748,0.99348,0.65517,1.12149,0.65039,1.22283,0.00144335,0.00144335,0.00144335
50,385.838,1.18764,0.69155,1.28747,0.97728,0.99495,0.99318,0.65294,1.15044,0.61565,1.22721,0.00143441,0.00143441,0.00143441
51,393.433,1.15544,0.69958,1.26563,0.96344,1,0.99386,0.71761,0.97197,0.59563,1.12723,0.00142531,0.00142531,0.00142531
52,401.202,1.12432,0.69636,1.28177,0.99536,0.99495,0.99495,0.71144,1.03857,0.53645,1.15332,0.00141608,0.00141608,0.00141608
53,408.799,1.14213,0.68497,1.25824,0.9598,0.98133,0.99087,0.70375,1.05965,0.62294,1.16313,0.0014067,0.0014067,0.0014067
54,416.296,1.12513,0.6935,1.25494,0.97593,0.9899,0.99333,0.72765,0.98716,0.57872,1.12519,0.00139718,0.00139718,0.00139718
55,428.213,1.16854,0.72117,1.27533,0.99138,0.99698,0.995,0.70105,1.10988,0.56941,1.18315,0.00138753,0.00138753,0.00138753
56,435.774,1.11773,0.68455,1.26255,0.98281,0.98618,0.99369,0.68319,1.10828,0.57102,1.19792,0.00137774,0.00137774,0.00137774
57,443.349,1.14099,0.65801,1.28044,0.99541,0.98257,0.99423,0.72871,0.9872,0.56174,1.12421,0.00136781,0.00136781,0.00136781
58,451.16,1.15709,0.72342,1.29369,0.95629,0.98618,0.9823,0.64261,1.20523,0.6162,1.23326,0.00135776,0.00135776,0.00135776
59,459.061,1.12209,0.7026,1.26925,0.96083,0.99561,0.98954,0.72121,0.96311,0.58631,1.11708,0.00134758,0.00134758,0.00134758
60,466.986,1.09823,0.68838,1.24201,0.97201,0.97041,0.99114,0.67554,1.08774,0.5911,1.18033,0.00133728,0.00133728,0.00133728
61,475.008,1.12526,0.69917,1.24314,0.98115,0.96553,0.99277,0.66687,1.18414,0.58856,1.21326,0.00132685,0.00132685,0.00132685
62,482.946,1.08766,0.65,1.22279,0.99875,0.98998,0.99454,0.68945,1.11213,0.55614,1.17892,0.00131631,0.00131631,0.00131631
63,490.949,1.11965,0.6457,1.23091,0.99175,0.99056,0.99495,0.7383,0.93387,0.51947,1.10493,0.00130565,0.00130565,0.00130565
64,499.808,1.09817,0.66105,1.23641,0.98667,0.99323,0.995,0.70957,1.03159,0.5457,1.14388,0.00129487,0.00129487,0.00129487
65,507.814,1.0436,0.62433,1.18097,0.98035,0.97576,0.99364,0.68814,1.13921,0.55254,1.186,0.00128398,0.00128398,0.00128398
66,515.87,1.06488,0.63561,1.21586,0.99465,0.99462,0.995,0.71658,1.02065,0.52458,1.13171,0.00127298,0.00127298,0.00127298
67,524.232,1.06351,0.6183,1.2134,0.99685,1,0.995,0.72212,1.03444,0.5351,1.14128,0.00126188,0.00126188,0.00126188
68,532.424,1.03216,0.60815,1.19962,0.99506,0.99789,0.995,0.71404,1.03846,0.52655,1.13383,0.00125067,0.00125067,0.00125067
69,540.447,1.00803,0.60087,1.16399,0.98896,0.99476,0.99472,0.71445,1.06166,0.54699,1.16311,0.00123936,0.00123936,0.00123936
70,548.473,0.97151,0.59663,1.19933,0.95872,0.98873,0.99441,0.71087,1.06418,0.55452,1.18073,0.00122795,0.00122795,0.00122795
71,557.341,1.02707,0.65459,1.21249,0.99084,0.9974,0.99487,0.69498,1.06107,0.56976,1.20127,0.00121645,0.00121645,0.00121645
72,565.449,1.03167,0.64171,1.20482,0.9925,1,0.995,0.70281,1.08217,0.54965,1.19815,0.00120486,0.00120486,0.00120486
73,573.559,1.07082,0.64126,1.21643,0.98943,0.99959,0.9947,0.69024,1.09712,0.56935,1.19029,0.00119317,0.00119317,0.00119317
74,581.72,1.01662,0.59214,1.17495,0.9901,0.99462,0.99487,0.73047,0.95704,0.54063,1.09954,0.0011814,0.0011814,0.0011814
75,589.891,0.9975,0.59682,1.19442,0.99486,0.99868,0.99483,0.74831,0.93603,0.49881,1.09309,0.00116955,0.00116955,0.00116955
76,598.827,1.02836,0.58578,1.17925,0.99265,0.99516,0.99495,0.76343,0.90591,0.48482,1.06273,0.00115761,0.00115761,0.00115761
77,607.807,0.95253,0.58264,1.13205,0.97906,1,0.99454,0.77105,0.89023,0.5103,1.05536,0.0011456,0.0011456,0.0011456
78,616.683,1.07514,0.60655,1.24302,0.97776,0.96984,0.98955,0.71239,1.08078,0.58288,1.1546,0.00113351,0.00113351,0.00113351
79,624.711,1.0563,0.62366,1.2133,0.99569,0.99056,0.9945,0.73048,1.07527,0.51432,1.14677,0.00112135,0.00112135,0.00112135
80,632.696,0.99715,0.57644,1.19498,0.9881,0.9899,0.9932,0.75708,0.95604,0.50101,1.10226,0.00110912,0.00110912,0.00110912
81,640.731,0.9831,0.57723,1.18301,0.97648,0.9899,0.99447,0.72416,1.047,0.50538,1.14192,0.00109683,0.00109683,0.00109683
82,648.759,0.9998,0.59575,1.17475,0.99187,1,0.995,0.7555,0.908,0.47184,1.08877,0.00108447,0.00108447,0.00108447
83,656.784,1.04971,0.60267,1.21243,0.99484,0.98557,0.99384,0.74219,0.94124,0.48349,1.12452,0.00107205,0.00107205,0.00107205
84,664.751,0.98421,0.56373,1.18503,0.99392,0.99557,0.9949,0.72494,1.01279,0.49049,1.13302,0.00105957,0.00105957,0.00105957
85,672.808,0.90409,0.53432,1.12582,0.99235,0.99495,0.99495,0.76439,0.89705,0.44228,1.04749,0.00104705,0.00104705,0.00104705
86,680.794,0.95594,0.56417,1.16133,0.99186,1,0.995,0.77313,0.89009,0.43644,1.04898,0.00103447,0.00103447,0.00103447
87,689.673,0.99674,0.55695,1.18395,0.98821,1,0.995,0.76362,0.89441,0.44456,1.06895,0.00102184,0.00102184,0.00102184
88,697.749,0.97669,0.55562,1.15157,0.99799,1,0.995,0.77039,0.89138,0.44708,1.06181,0.00100917,0.00100917,0.00100917
89,705.769,0.97147,0.55813,1.16302,0.99889,1,0.995,0.77549,0.87094,0.44703,1.04918,0.000996456,0.000996456,0.000996456
90,714.56,0.94908,0.54653,1.15039,0.99352,0.99561,0.99491,0.74533,0.96023,0.45542,1.09625,0.000983705,0.000983705,0.000983705
91,722.6,0.92229,0.54498,1.13692,0.99021,0.99017,0.99473,0.76881,0.91789,0.4608,1.05417,0.000970919,0.000970919,0.000970919
92,730.606,0.93902,0.55209,1.12782,0.98539,0.99264,0.99481,0.76378,0.93313,0.46977,1.07089,0.000958102,0.000958102,0.000958102
93,738.59,0.96159,0.57165,1.17868,0.98988,1,0.995,0.76941,0.90262,0.44469,1.07036,0.000945256,0.000945256,0.000945256
94,746.651,0.92492,0.57386,1.16579,0.99375,1,0.9937,0.78334,0.84578,0.43206,1.0508,0.000932384,0.000932384,0.000932384
95,755.447,0.93643,0.53282,1.14201,0.99312,1,0.9941,0.75995,0.95442,0.46168,1.09871,0.00091949,0.00091949,0.00091949
96,763.492,0.91118,0.53106,1.14719,0.99657,1,0.995,0.74205,1.00089,0.46565,1.10991,0.000906577,0.000906577,0.000906577
97,771.825,0.89634,0.52555,1.12742,0.99795,1,0.995,0.77249,0.8623,0.43323,1.03913,0.000893648,0.000893648,0.000893648
98,780.018,0.88114,0.52497,1.13255,0.99841,1,0.995,0.72986,0.9783,0.46161,1.12177,0.000880706,0.000880706,0.000880706
99,788.03,0.95917,0.54055,1.18724,0.99901,1,0.995,0.7243,1.0081,0.4711,1.1317,0.000867754,0.000867754,0.000867754
100,796.203,0.85445,0.50414,1.10039,0.99826,1,0.995,0.81504,0.73129,0.41661,0.98417,0.000854796,0.000854796,0.000854796
101,805.042,0.9411,0.52065,1.167,0.99922,1,0.995,0.79831,0.82515,0.41727,1.00727,0.000841835,0.000841835,0.000841835
102,813.021,0.9149,0.50888,1.14943,0.99937,1,0.995,0.76441,0.94114,0.4327,1.06029,0.000828874,0.000828874,0.000828874
103,821.021,0.88279,0.49044,1.08625,0.99613,0.9989,0.995,0.75103,1.00351,0.43821,1.10584,0.000815916,0.000815916,0.000815916
104,829.025,0.87477,0.49158,1.09528,0.99818,0.99462,0.99495,0.78609,0.8436,0.42148,1.03116,0.000802964,0.000802964,0.000802964
105,836.996,0.94845,0.52313,1.13687,0.9989,0.99574,0.995,0.76702,0.9076,0.4259,1.0574,0.000790022,0.000790022,0.000790022
106,845.196,0.92672,0.4939,1.10375,0.99803,0.99991,0.995,0.77481,0.93792,0.4244,1.08797,0.000777093,0.000777093,0.000777093
107,853.342,0.89815,0.51361,1.1501,0.99809,0.99961,0.995,0.77851,0.89299,0.43105,1.06096,0.00076418,0.00076418,0.00076418
108,861.463,0.88132,0.50775,1.08779,0.99918,1,0.995,0.78542,0.8089,0.40629,0.99946,0.000751286,0.000751286,0.000751286
109,869.577,0.91987,0.53746,1.14812,0.99802,1,0.995,0.79476,0.80121,0.40804,1.00942,0.000738414,0.000738414,0.000738414
110,877.683,0.88676,0.51319,1.10015,0.99822,1,0.995,0.79373,0.82825,0.41294,1.03072,0.000725568,0.000725568,0.000725568
111,885.859,0.89598,0.51871,1.14048,0.99895,1,0.995,0.78644,0.86444,0.42116,1.03563,0.000712751,0.000712751,0.000712751
112,893.987,0.89904,0.5176,1.12234,0.99929,1,0.995,0.79808,0.85728,0.4151,1.04201,0.000699965,0.000699965,0.000699965
113,902.099,0.82329,0.49188,1.07597,0.99904,1,0.995,0.77135,0.93294,0.43322,1.07734,0.000687214,0.000687214,0.000687214
114,910.246,0.89801,0.52386,1.13689,0.99883,1,0.995,0.7604,0.94721,0.43048,1.0849,0.000674502,0.000674502,0.000674502
115,918.395,0.83874,0.48695,1.09109,0.99918,1,0.995,0.80027,0.81736,0.39981,1.02851,0.000661831,0.000661831,0.000661831
116,926.577,0.82991,0.46555,1.06712,0.99886,1,0.995,0.79815,0.81885,0.3983,1.02364,0.000649204,0.000649204,0.000649204
117,934.661,0.80611,0.46268,1.07693,0.99927,1,0.995,0.75886,0.94662,0.42245,1.0571,0.000636625,0.000636625,0.000636625
118,942.805,0.83869,0.48964,1.09785,0.99896,1,0.995,0.74303,0.9977,0.42891,1.07311,0.000624096,0.000624096,0.000624096
119,950.955,0.77872,0.4587,1.06774,0.99899,1,0.995,0.79165,0.82163,0.39048,1.01397,0.000611621,0.000611621,0.000611621
120,959.046,0.8181,0.48428,1.05366,0.99843,1,0.995,0.82502,0.71743,0.37132,0.98174,0.000599203,0.000599203,0.000599203
121,967.87,0.78603,0.4624,1.05326,0.99863,1,0.995,0.80252,0.79972,0.39855,1.01384,0.000586845,0.000586845,0.000586845
122,976.083,0.84842,0.48681,1.09865,0.99895,1,0.995,0.76985,0.93373,0.42541,1.04556,0.00057455,0.00057455,0.00057455
123,984.174,0.8072,0.45021,1.06031,0.99854,1,0.995,0.79816,0.87245,0.39576,1.0225,0.00056232,0.00056232,0.00056232
124,992.266,0.7748,0.47057,1.0575,0.99704,0.99958,0.995,0.81661,0.79549,0.38592,1.00643,0.00055016,0.00055016,0.00055016
125,1000.46,0.83519,0.46299,1.09935,0.99759,0.99964,0.995,0.79449,0.83693,0.38903,1.04502,0.000538072,0.000538072,0.000538072
126,1008.58,0.7766,0.43853,1.05086,0.99694,0.99952,0.995,0.78364,0.88548,0.39488,1.06188,0.000526058,0.000526058,0.000526058
127,1016.68,0.79174,0.45888,1.0622,0.99663,0.99854,0.995,0.77726,0.93413,0.41508,1.05275,0.000514122,0.000514122,0.000514122
128,1024.75,0.77811,0.44359,1.0682,0.99724,1,0.995,0.81363,0.79064,0.3881,0.98313,0.000502268,0.000502268,0.000502268
129,1032.91,0.77862,0.44358,1.05675,0.99865,1,0.995,0.80366,0.81895,0.38702,0.99985,0.000490497,0.000490497,0.000490497
130,1041.16,0.76459,0.45689,1.06951,0.99902,1,0.995,0.7829,0.89025,0.40173,1.04587,0.000478813,0.000478813,0.000478813
131,1049.31,0.76176,0.44364,1.05098,0.99918,1,0.995,0.79533,0.83655,0.39493,1.01877,0.000467218,0.000467218,0.000467218
132,1057.43,0.73559,0.43127,1.03557,0.99906,1,0.995,0.81698,0.75372,0.37377,0.98505,0.000455716,0.000455716,0.000455716
133,1065.67,0.78622,0.44711,1.04814,0.99885,1,0.995,0.81433,0.76655,0.37569,0.9897,0.000444309,0.000444309,0.000444309
134,1073.75,0.8096,0.45849,1.08033,0.99889,1,0.995,0.79343,0.81204,0.38393,1.00561,0.000433,0.000433,0.000433
135,1081.88,0.75803,0.42806,1.03645,0.999,1,0.995,0.77521,0.89643,0.40027,1.03412,0.000421792,0.000421792,0.000421792
136,1089.98,0.83628,0.47965,1.08765,0.99935,1,0.995,0.80009,0.81889,0.38669,1.00729,0.000410687,0.000410687,0.000410687
137,1098.12,0.74795,0.41883,1.04723,0.99937,1,0.995,0.82666,0.73111,0.36218,0.97648,0.000399689,0.000399689,0.000399689
138,1107.09,0.73956,0.44216,1.07707,0.99911,1,0.995,0.80637,0.8347,0.38313,1.01019,0.000388801,0.000388801,0.000388801
